country,state,city,latitude,longitude
Australia,New South Wales,Bowenfels,-33.48336000,150.13444000
Australia,New South Wales,Bowral,-34.47750000,150.42040000
Australia,New South Wales,Bowraville,-30.64997000,152.85146000
Australia,New South Wales,Bradbury,-34.08540000,150.81541000
Australia,New South Wales,Braidwood,-35.44148000,149.79980000
Australia,New South Wales,Branxton,-32.65547000,151.35113000
Australia,New South Wales,Breakfast Point,-33.84286000,151.11072000
Australia,New South Wales,Brewarrina,-29.95055000,147.14760000
Australia,New South Wales,Brighton-Le-Sands,-33.96009000,151.15110000
Australia,New South Wales,Bringelly,-33.93333000,150.73333000
Australia,New South Wales,Broadmeadow,-32.92371000,151.72849000
Australia,New South Wales,Broken Hill,-31.96520000,141.45120000
Australia,New South Wales,Broken Hill Municipality,-31.95000000,141.43333000
Australia,New South Wales,Bronte,-33.90198000,151.26556000
Australia,New South Wales,Brookvale,-33.76108000,151.27446000
Australia,New South Wales,Broulee,-35.85469000,150.17392000
Australia,New South Wales,Brunswick Heads,-28.54003000,153.54573000
Australia,New South Wales,Budgewoi,-33.23390000,151.55412000
Australia,New South Wales,Buff Point,-33.22285000,151.53125000
Australia,New South Wales,Bulahdelah,-32.40698000,152.21185000
Australia,New South Wales,Bullaburra,-33.72922000,150.41766000
Australia,New South Wales,Bulli,-34.33834000,150.91347000
Australia,New South Wales,Bundanoon,-34.65658000,150.29623000
Australia,New South Wales,Bundeena,-34.08384000,151.15016000
Australia,New South Wales,Bungarribee,-33.77704000,150.86799000
Australia,New South Wales,Bungendore,-35.25382000,149.44007000
Australia,New South Wales,Buronga,-34.17070000,142.17350000
Australia,New South Wales,Burradoo,-34.50320000,150.40900000
Australia,New South Wales,Burraneer,-34.05625000,151.13810000
Australia,New South Wales,Burrill Lake,-35.38716000,150.44952000
Australia,New South Wales,Burwood,-33.88536000,151.10481000
Australia,New South Wales,Busby,-33.91124000,150.88068000
Australia,New South Wales,Buttaba,-33.05327000,151.57866000
Australia,New South Wales,Buxton,-34.26017000,150.53288000
Australia,New South Wales,Byron Bay,-28.64989000,153.61246000
Australia,New South Wales,Byron Shire,-28.61667000,153.51667000
Australia,New South Wales,Bywong,-35.16476000,149.32892000
Australia,New South Wales,Cabarita,-33.84721000,151.11638000
Australia,New South Wales,Cabonne,-33.11076000,148.82694000
Australia,New South Wales,Cabramatta,-33.89743000,150.93446000
Australia,New South Wales,Cabramatta West,-33.89303000,150.91190000
Australia,New South Wales,Caddens,-33.77415000,150.74126000
